
    Level 0 start: 8388608 boxes, hw=1.50000, res=100, resume_from=0
      level 0 progress: 25000/8388608 (0.30%) boxes, eliminated=0, survivors_so_far=25000, evals=0, elapsed=0.0s, eta=16.2s
      level 0 progress: 50000/8388608 (0.60%) boxes, eliminated=0, survivors_so_far=50000, evals=0, elapsed=0.1s, eta=10.5s
      level 0 progress: 75000/8388608 (0.89%) boxes, eliminated=0, survivors_so_far=75000, evals=0, elapsed=0.1s, eta=9.0s
      level 0 progress: 100000/8388608 (1.19%) boxes, eliminated=0, survivors_so_far=100000, evals=0, elapsed=0.1s, eta=8.7s
      level 0 progress: 125000/8388608 (1.49%) boxes, eliminated=0, survivors_so_far=125000, evals=0, elapsed=0.1s, eta=8.3s
      level 0 progress: 150000/8388608 (1.79%) boxes, eliminated=0, survivors_so_far=150000, evals=0, elapsed=0.1s, eta=8.0s
      level 0 progress: 175000/8388608 (2.09%) boxes, eliminated=0, survivors_so_far=175000, evals=0, elapsed=0.2s, eta=7.8s
      level 0 progress: 200000/8388608 (2.38%) boxes, eliminated=0, survivors_so_far=200000, evals=0, elapsed=0.2s, eta=7.6s
      level 0 progress: 225000/8388608 (2.68%) boxes, eliminated=0, survivors_so_far=225000, evals=0, elapsed=0.2s, eta=7.5s
      level 0 progress: 250000/8388608 (2.98%) boxes, eliminated=0, survivors_so_far=250000, evals=0, elapsed=0.2s, eta=7.4s
      level 0 progress: 275000/8388608 (3.28%) boxes, eliminated=0, survivors_so_far=275000, evals=0, elapsed=0.3s, eta=7.6s
      level 0 progress: 300000/8388608 (3.58%) boxes, eliminated=0, survivors_so_far=300000, evals=0, elapsed=0.3s, eta=7.8s
      level 0 progress: 325000/8388608 (3.87%) boxes, eliminated=0, survivors_so_far=325000, evals=0, elapsed=0.3s, eta=7.9s
      level 0 progress: 350000/8388608 (4.17%) boxes, eliminated=0, survivors_so_far=350000, evals=0, elapsed=0.4s, eta=8.1s
      level 0 progress: 375000/8388608 (4.47%) boxes, eliminated=0, survivors_so_far=375000, evals=0, elapsed=0.4s, eta=8.2s
      level 0 progress: 400000/8388608 (4.77%) boxes, eliminated=0, survivors_so_far=400000, evals=0, elapsed=0.4s, eta=8.6s
      level 0 progress: 425000/8388608 (5.07%) boxes, eliminated=0, survivors_so_far=425000, evals=0, elapsed=0.5s, eta=8.7s
      level 0 progress: 450000/8388608 (5.36%) boxes, eliminated=0, survivors_so_far=450000, evals=0, elapsed=0.5s, eta=8.9s
      level 0 progress: 475000/8388608 (5.66%) boxes, eliminated=0, survivors_so_far=475000, evals=0, elapsed=0.5s, eta=9.1s
      level 0 progress: 500000/8388608 (5.96%) boxes, eliminated=0, survivors_so_far=500000, evals=0, elapsed=0.6s, eta=9.2s
      level 0 progress: 525000/8388608 (6.26%) boxes, eliminated=0, survivors_so_far=525000, evals=0, elapsed=0.6s, eta=9.4s
      level 0 progress: 550000/8388608 (6.56%) boxes, eliminated=0, survivors_so_far=550000, evals=0, elapsed=0.7s, eta=9.6s
      level 0 progress: 575000/8388608 (6.85%) boxes, eliminated=0, survivors_so_far=575000, evals=0, elapsed=0.7s, eta=9.7s
      level 0 progress: 600000/8388608 (7.15%) boxes, eliminated=0, survivors_so_far=600000, evals=0, elapsed=0.8s, eta=9.9s
      level 0 progress: 625000/8388608 (7.45%) boxes, eliminated=0, survivors_so_far=625000, evals=0, elapsed=0.8s, eta=10.1s
      level 0 progress: 650000/8388608 (7.75%) boxes, eliminated=0, survivors_so_far=650000, evals=0, elapsed=0.9s, eta=10.2s
      level 0 progress: 675000/8388608 (8.05%) boxes, eliminated=0, survivors_so_far=675000, evals=0, elapsed=0.9s, eta=10.3s
      level 0 progress: 700000/8388608 (8.34%) boxes, eliminated=0, survivors_so_far=700000, evals=0, elapsed=1.0s, eta=10.4s
      level 0 progress: 725000/8388608 (8.64%) boxes, eliminated=0, survivors_so_far=725000, evals=0, elapsed=1.0s, eta=10.5s
      level 0 progress: 750000/8388608 (8.94%) boxes, eliminated=0, survivors_so_far=750000, evals=0, elapsed=1.0s, eta=10.7s
      level 0 progress: 775000/8388608 (9.24%) boxes, eliminated=0, survivors_so_far=775000, evals=0, elapsed=1.1s, eta=10.8s
      level 0 progress: 800000/8388608 (9.54%) boxes, eliminated=0, survivors_so_far=800000, evals=0, elapsed=1.1s, eta=10.8s
      level 0 progress: 825000/8388608 (9.83%) boxes, eliminated=0, survivors_so_far=825000, evals=0, elapsed=1.2s, eta=11.0s
      level 0 progress: 850000/8388608 (10.13%) boxes, eliminated=0, survivors_so_far=850000, evals=0, elapsed=1.2s, eta=11.1s
      level 0 progress: 875000/8388608 (10.43%) boxes, eliminated=0, survivors_so_far=875000, evals=0, elapsed=1.3s, eta=11.2s
      level 0 progress: 900000/8388608 (10.73%) boxes, eliminated=0, survivors_so_far=900000, evals=0, elapsed=1.4s, eta=11.4s
      level 0 progress: 925000/8388608 (11.03%) boxes, eliminated=0, survivors_so_far=925000, evals=0, elapsed=1.4s, eta=11.5s
      level 0 progress: 950000/8388608 (11.32%) boxes, eliminated=0, survivors_so_far=950000, evals=0, elapsed=1.5s, eta=11.5s
      level 0 progress: 975000/8388608 (11.62%) boxes, eliminated=0, survivors_so_far=975000, evals=0, elapsed=1.5s, eta=11.6s
      level 0 progress: 1000000/8388608 (11.92%) boxes, eliminated=0, survivors_so_far=1000000, evals=0, elapsed=1.6s, eta=11.8s
      level 0 progress: 1025000/8388608 (12.22%) boxes, eliminated=0, survivors_so_far=1025000, evals=0, elapsed=1.6s, eta=11.8s
      level 0 progress: 1050000/8388608 (12.52%) boxes, eliminated=0, survivors_so_far=1050000, evals=0, elapsed=1.7s, eta=12.0s
      level 0 progress: 1075000/8388608 (12.81%) boxes, eliminated=0, survivors_so_far=1075000, evals=0, elapsed=1.8s, eta=12.2s
      level 0 progress: 1100000/8388608 (13.11%) boxes, eliminated=0, survivors_so_far=1100000, evals=0, elapsed=1.9s, eta=12.3s
      level 0 progress: 1125000/8388608 (13.41%) boxes, eliminated=0, survivors_so_far=1125000, evals=0, elapsed=1.9s, eta=12.4s
      level 0 progress: 1150000/8388608 (13.71%) boxes, eliminated=0, survivors_so_far=1150000, evals=0, elapsed=2.0s, eta=12.5s
      level 0 progress: 1175000/8388608 (14.01%) boxes, eliminated=0, survivors_so_far=1175000, evals=0, elapsed=2.1s, eta=12.6s
      level 0 progress: 1200000/8388608 (14.31%) boxes, eliminated=0, survivors_so_far=1200000, evals=0, elapsed=2.1s, eta=12.8s
      level 0 progress: 1225000/8388608 (14.60%) boxes, eliminated=0, survivors_so_far=1225000, evals=0, elapsed=2.2s, eta=12.8s
      level 0 progress: 1250000/8388608 (14.90%) boxes, eliminated=0, survivors_so_far=1250000, evals=0, elapsed=2.3s, eta=12.9s
      level 0 progress: 1275000/8388608 (15.20%) boxes, eliminated=0, survivors_so_far=1275000, evals=0, elapsed=2.3s, eta=12.9s
      level 0 progress: 1300000/8388608 (15.50%) boxes, eliminated=0, survivors_so_far=1300000, evals=0, elapsed=2.4s, eta=13.0s
      level 0 progress: 1325000/8388608 (15.80%) boxes, eliminated=0, survivors_so_far=1325000, evals=0, elapsed=2.5s, eta=13.1s
      level 0 progress: 1350000/8388608 (16.09%) boxes, eliminated=0, survivors_so_far=1350000, evals=0, elapsed=2.5s, eta=13.2s
      level 0 progress: 1375000/8388608 (16.39%) boxes, eliminated=0, survivors_so_far=1375000, evals=0, elapsed=2.6s, eta=13.3s
      level 0 progress: 1400000/8388608 (16.69%) boxes, eliminated=0, survivors_so_far=1400000, evals=0, elapsed=2.7s, eta=13.4s
      level 0 progress: 1425000/8388608 (16.99%) boxes, eliminated=0, survivors_so_far=1425000, evals=0, elapsed=2.8s, eta=13.6s
      level 0 progress: 1450000/8388608 (17.29%) boxes, eliminated=0, survivors_so_far=1450000, evals=0, elapsed=2.9s, eta=13.7s
      level 0 progress: 1475000/8388608 (17.58%) boxes, eliminated=0, survivors_so_far=1475000, evals=0, elapsed=2.9s, eta=13.7s
      level 0 progress: 1500000/8388608 (17.88%) boxes, eliminated=0, survivors_so_far=1500000, evals=0, elapsed=3.0s, eta=13.9s
      level 0 progress: 1525000/8388608 (18.18%) boxes, eliminated=0, survivors_so_far=1525000, evals=0, elapsed=3.1s, eta=14.0s
      level 0 progress: 1550000/8388608 (18.48%) boxes, eliminated=0, survivors_so_far=1550000, evals=0, elapsed=3.2s, eta=14.1s
      level 0 progress: 1575000/8388608 (18.78%) boxes, eliminated=0, survivors_so_far=1575000, evals=0, elapsed=3.3s, eta=14.1s
      level 0 progress: 1600000/8388608 (19.07%) boxes, eliminated=0, survivors_so_far=1600000, evals=0, elapsed=3.4s, eta=14.3s
      level 0 progress: 1625000/8388608 (19.37%) boxes, eliminated=0, survivors_so_far=1625000, evals=0, elapsed=3.5s, eta=14.4s
      level 0 progress: 1650000/8388608 (19.67%) boxes, eliminated=0, survivors_so_far=1650000, evals=0, elapsed=3.5s, eta=14.5s
      level 0 progress: 1675000/8388608 (19.97%) boxes, eliminated=0, survivors_so_far=1675000, evals=0, elapsed=3.6s, eta=14.6s
      level 0 progress: 1700000/8388608 (20.27%) boxes, eliminated=0, survivors_so_far=1700000, evals=0, elapsed=3.7s, eta=14.7s
      level 0 progress: 1725000/8388608 (20.56%) boxes, eliminated=0, survivors_so_far=1725000, evals=0, elapsed=3.8s, eta=14.8s
      level 0 progress: 1750000/8388608 (20.86%) boxes, eliminated=0, survivors_so_far=1750000, evals=0, elapsed=3.9s, eta=14.9s
      level 0 progress: 1775000/8388608 (21.16%) boxes, eliminated=0, survivors_so_far=1775000, evals=0, elapsed=4.0s, eta=14.9s
      level 0 progress: 1800000/8388608 (21.46%) boxes, eliminated=0, survivors_so_far=1800000, evals=0, elapsed=4.1s, eta=15.0s
      level 0 progress: 1825000/8388608 (21.76%) boxes, eliminated=0, survivors_so_far=1825000, evals=0, elapsed=4.2s, eta=15.1s
      level 0 progress: 1850000/8388608 (22.05%) boxes, eliminated=0, survivors_so_far=1850000, evals=0, elapsed=4.3s, eta=15.2s
      level 0 progress: 1875000/8388608 (22.35%) boxes, eliminated=0, survivors_so_far=1875000, evals=0, elapsed=4.4s, eta=15.2s
      level 0 progress: 1900000/8388608 (22.65%) boxes, eliminated=0, survivors_so_far=1900000, evals=0, elapsed=4.5s, eta=15.3s
      level 0 progress: 1925000/8388608 (22.95%) boxes, eliminated=0, survivors_so_far=1925000, evals=0, elapsed=4.6s, eta=15.5s
      level 0 progress: 1950000/8388608 (23.25%) boxes, eliminated=0, survivors_so_far=1950000, evals=0, elapsed=4.7s, eta=15.6s
      level 0 progress: 1975000/8388608 (23.54%) boxes, eliminated=0, survivors_so_far=1975000, evals=0, elapsed=4.8s, eta=15.7s
      level 0 progress: 2000000/8388608 (23.84%) boxes, eliminated=0, survivors_so_far=2000000, evals=0, elapsed=4.9s, eta=15.8s
      level 0 progress: 2025000/8388608 (24.14%) boxes, eliminated=0, survivors_so_far=2025000, evals=0, elapsed=5.1s, eta=15.9s
      level 0 progress: 2050000/8388608 (24.44%) boxes, eliminated=0, survivors_so_far=2050000, evals=0, elapsed=5.2s, eta=16.0s
      level 0 progress: 2075000/8388608 (24.74%) boxes, eliminated=0, survivors_so_far=2075000, evals=0, elapsed=5.3s, eta=16.1s
      level 0 progress: 2100000/8388608 (25.03%) boxes, eliminated=0, survivors_so_far=2100000, evals=0, elapsed=5.4s, eta=16.2s
      level 0 progress: 2125000/8388608 (25.33%) boxes, eliminated=0, survivors_so_far=2125000, evals=0, elapsed=5.5s, eta=16.3s
      level 0 progress: 2150000/8388608 (25.63%) boxes, eliminated=0, survivors_so_far=2150000, evals=0, elapsed=5.7s, eta=16.4s
      level 0 progress: 2175000/8388608 (25.93%) boxes, eliminated=0, survivors_so_far=2175000, evals=0, elapsed=5.8s, eta=16.5s
      level 0 progress: 2200000/8388608 (26.23%) boxes, eliminated=0, survivors_so_far=2200000, evals=0, elapsed=5.9s, eta=16.6s
      level 0 progress: 2225000/8388608 (26.52%) boxes, eliminated=0, survivors_so_far=2225000, evals=0, elapsed=6.0s, eta=16.7s
      level 0 progress: 2250000/8388608 (26.82%) boxes, eliminated=0, survivors_so_far=2250000, evals=0, elapsed=6.1s, eta=16.7s
      level 0 progress: 2275000/8388608 (27.12%) boxes, eliminated=0, survivors_so_far=2275000, evals=0, elapsed=6.3s, eta=16.8s
      level 0 progress: 2300000/8388608 (27.42%) boxes, eliminated=0, survivors_so_far=2300000, evals=0, elapsed=6.4s, eta=16.9s
      level 0 progress: 2325000/8388608 (27.72%) boxes, eliminated=0, survivors_so_far=2325000, evals=0, elapsed=6.5s, eta=17.0s
      level 0 progress: 2350000/8388608 (28.01%) boxes, eliminated=0, survivors_so_far=2350000, evals=0, elapsed=6.6s, eta=17.1s
      level 0 progress: 2375000/8388608 (28.31%) boxes, eliminated=0, survivors_so_far=2375000, evals=0, elapsed=6.8s, eta=17.1s
      level 0 progress: 2400000/8388608 (28.61%) boxes, eliminated=0, survivors_so_far=2400000, evals=0, elapsed=6.9s, eta=17.1s
      level 0 progress: 2425000/8388608 (28.91%) boxes, eliminated=0, survivors_so_far=2425000, evals=0, elapsed=7.0s, eta=17.2s
      level 0 progress: 2450000/8388608 (29.21%) boxes, eliminated=0, survivors_so_far=2450000, evals=0, elapsed=7.1s, eta=17.3s
      level 0 progress: 2475000/8388608 (29.50%) boxes, eliminated=0, survivors_so_far=2475000, evals=0, elapsed=7.3s, eta=17.3s
      level 0 progress: 2500000/8388608 (29.80%) boxes, eliminated=0, survivors_so_far=2500000, evals=0, elapsed=7.4s, eta=17.4s
      level 0 progress: 2525000/8388608 (30.10%) boxes, eliminated=0, survivors_so_far=2525000, evals=0, elapsed=7.5s, eta=17.5s
      level 0 progress: 2550000/8388608 (30.40%) boxes, eliminated=0, survivors_so_far=2550000, evals=0, elapsed=7.7s, eta=17.6s
      level 0 progress: 2575000/8388608 (30.70%) boxes, eliminated=0, survivors_so_far=2575000, evals=0, elapsed=7.8s, eta=17.7s
      level 0 progress: 2600000/8388608 (30.99%) boxes, eliminated=0, survivors_so_far=2600000, evals=0, elapsed=8.0s, eta=17.8s
      level 0 progress: 2625000/8388608 (31.29%) boxes, eliminated=0, survivors_so_far=2625000, evals=0, elapsed=8.1s, eta=17.8s
      level 0 progress: 2650000/8388608 (31.59%) boxes, eliminated=0, survivors_so_far=2650000, evals=0, elapsed=8.3s, eta=17.9s
      level 0 progress: 2675000/8388608 (31.89%) boxes, eliminated=0, survivors_so_far=2675000, evals=0, elapsed=8.4s, eta=18.0s
      level 0 progress: 2700000/8388608 (32.19%) boxes, eliminated=0, survivors_so_far=2700000, evals=0, elapsed=8.6s, eta=18.0s
      level 0 progress: 2725000/8388608 (32.48%) boxes, eliminated=0, survivors_so_far=2725000, evals=0, elapsed=8.7s, eta=18.1s
      level 0 progress: 2750000/8388608 (32.78%) boxes, eliminated=0, survivors_so_far=2750000, evals=0, elapsed=8.8s, eta=18.1s
      level 0 progress: 2775000/8388608 (33.08%) boxes, eliminated=0, survivors_so_far=2775000, evals=0, elapsed=9.0s, eta=18.2s
      level 0 progress: 2800000/8388608 (33.38%) boxes, eliminated=0, survivors_so_far=2800000, evals=0, elapsed=9.1s, eta=18.2s
      level 0 progress: 2825000/8388608 (33.68%) boxes, eliminated=0, survivors_so_far=2825000, evals=0, elapsed=9.3s, eta=18.2s
      level 0 progress: 2850000/8388608 (33.97%) boxes, eliminated=0, survivors_so_far=2850000, evals=0, elapsed=9.4s, eta=18.3s
      level 0 progress: 2875000/8388608 (34.27%) boxes, eliminated=0, survivors_so_far=2875000, evals=0, elapsed=9.6s, eta=18.4s
      level 0 progress: 2900000/8388608 (34.57%) boxes, eliminated=0, survivors_so_far=2900000, evals=0, elapsed=9.8s, eta=18.5s
      level 0 progress: 2925000/8388608 (34.87%) boxes, eliminated=0, survivors_so_far=2925000, evals=0, elapsed=9.9s, eta=18.6s
      level 0 progress: 2950000/8388608 (35.17%) boxes, eliminated=0, survivors_so_far=2950000, evals=0, elapsed=10.1s, eta=18.6s
      level 0 progress: 2975000/8388608 (35.46%) boxes, eliminated=0, survivors_so_far=2975000, evals=0, elapsed=10.3s, eta=18.7s
      level 0 progress: 3000000/8388608 (35.76%) boxes, eliminated=0, survivors_so_far=3000000, evals=0, elapsed=10.5s, eta=18.8s
      level 0 progress: 3025000/8388608 (36.06%) boxes, eliminated=0, survivors_so_far=3025000, evals=0, elapsed=10.7s, eta=18.9s
      level 0 progress: 3050000/8388608 (36.36%) boxes, eliminated=0, survivors_so_far=3050000, evals=0, elapsed=10.8s, eta=18.9s
      level 0 progress: 3075000/8388608 (36.66%) boxes, eliminated=0, survivors_so_far=3075000, evals=0, elapsed=11.0s, eta=19.0s
      level 0 progress: 3100000/8388608 (36.95%) boxes, eliminated=0, survivors_so_far=3100000, evals=0, elapsed=11.1s, eta=19.0s
      level 0 progress: 3125000/8388608 (37.25%) boxes, eliminated=0, survivors_so_far=3125000, evals=0, elapsed=11.3s, eta=19.1s
      level 0 progress: 3150000/8388608 (37.55%) boxes, eliminated=0, survivors_so_far=3150000, evals=0, elapsed=11.5s, eta=19.2s
      level 0 progress: 3175000/8388608 (37.85%) boxes, eliminated=0, survivors_so_far=3175000, evals=0, elapsed=11.7s, eta=19.3s
      level 0 progress: 3200000/8388608 (38.15%) boxes, eliminated=0, survivors_so_far=3200000, evals=0, elapsed=11.9s, eta=19.3s
      level 0 progress: 3225000/8388608 (38.44%) boxes, eliminated=0, survivors_so_far=3225000, evals=0, elapsed=12.1s, eta=19.3s
      level 0 progress: 3250000/8388608 (38.74%) boxes, eliminated=0, survivors_so_far=3250000, evals=0, elapsed=12.3s, eta=19.4s
      level 0 progress: 3275000/8388608 (39.04%) boxes, eliminated=0, survivors_so_far=3275000, evals=0, elapsed=12.5s, eta=19.5s
      level 0 progress: 3300000/8388608 (39.34%) boxes, eliminated=0, survivors_so_far=3300000, evals=0, elapsed=12.7s, eta=19.5s
      level 0 progress: 3325000/8388608 (39.64%) boxes, eliminated=0, survivors_so_far=3325000, evals=0, elapsed=12.9s, eta=19.6s
      level 0 progress: 3350000/8388608 (39.94%) boxes, eliminated=0, survivors_so_far=3350000, evals=0, elapsed=13.1s, eta=19.6s
      level 0 progress: 3375000/8388608 (40.23%) boxes, eliminated=0, survivors_so_far=3375000, evals=0, elapsed=13.2s, eta=19.6s
      level 0 progress: 3400000/8388608 (40.53%) boxes, eliminated=0, survivors_so_far=3400000, evals=0, elapsed=13.4s, eta=19.7s
